STF,O2 
1,0
2,0.01345
3,0.543343
4,0.32122
5,0.0964755
6,0.0471431
7,0.363668
8,0.346578
9,0.17878
10,0.0931739
11,0.265918
12,0.323487
13,0.228401
14,0.139649
15,0.219706
16,0.289578
17,0.250228
18,0.177769
19,0.203596
20,0.260469
21,0.25453
22,0.204448
23,0.202918
24,0.240587
25,0.250254
26,0.220555
27,0.208485
28,0.229289
29,0.243307
30,0.228704
31,0.215232
32,0.224201
33,0.236823
34,0.23174
35,0.220864
36,0.222865
37,0.232013
38,0.231993
39,0.22472
40,0.223387
41,0.228998
42,0.23105
43,0.226949
44,0.224553
45,0.227416
46,0.229839
47,0.227991
48,0.225715
49,0.226787
50,0.228799
